DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241304802,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1800,13,Newton,1317,1,210,ROBBERY,1822 1309 0446 0344 0416,37,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,LONG BEACH                   ST,16TH                         ST,34.0229,-118.2426
240704646,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0600,07,Wilshire,0737,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  MANSFIELD                    AV,,34.0647,-118.3424
240604832,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1900,06,Hollywood,0622,1,330,BURGLARY FROM VEHICLE,1300 1822 1307 0344 0329,50,M,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,7200    HILLSIDE                     AV,,34.1046,-118.3461
240704663,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1020,07,Wilshire,0789,1,210,ROBBERY,0945 0344,0,X,X,202,LIQUOR STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,3500 W  WASHINGTON                   BL,,34.0399,-118.3225
241504918,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1815,15,N Hollywood,1551,1,310,BURGLARY,0344 1609 1822 2034 0352,40,M,O,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,310,,,,4700    VANTAGE                      AV,,34.1559,-118.3977
241804787,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0846,18,Southeast,1826,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0342 0344 0325 1822 0216 0319,0,X,X,403,DRUG STORE,,,IC,Invest Cont,442,,,,1600 E  103RD                        ST,,33.9485,-118.2461
241205036,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0950,12,77th Street,1255,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0450 1202 0334 1100 0302 1300,60,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230,,,,7300    DALTON                       AV,,33.9735,-118.3035
241104676,01/19/2024 12:00:00 AM,01/17/2024 12:00:00 AM,2000,11,Northeast,1116,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416,40,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,5100    HUB                          ST,,34.1171,-118.2049
240304946,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1900,03,Southwest,0332,1,310,BURGLARY,1822 0344 0329 1601 1609,23,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,4300 W  JEFFERSON                    BL,,34.0256,-118.3429
241304758,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1050,13,Newton,1341,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,JEFFERSON                    BL,GRAND                        AV,34.0203,-118.2762
241304778,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1730,13,Newton,1341,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,26,F,H,101,STREET,,,IC,Invest Cont,740,,,,BROADWAY,39TH                         ST,34.0121,-118.2768
241504849,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1551,15,N Hollywood,1522,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 1309 1501 0344,0,M,O,203,OTHER BUSINESS,,,AO,Adult Other,440,,,,13000    SHERMAN                      WY,,34.2012,-118.416
241004652,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1900,10,West Valley,1011,1,520,VEHICLE - ATTEMPT STOLEN,1822,38,M,H,101,STREET,,,IC,Invest Cont,520,,,,19600    SHERMAN                      WY,,34.2012,-118.5603
242104684,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1100,21,Topanga,2106,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1202 2004 1609,84,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,740,,,,9000    ETON                         AV,,34.2335,-118.594
240504622,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1450,05,Harbor,0516,2,624,BATTERY - SIMPLE ASSAULT,1519 2055 0913 0603 0416 0417 1202 0921,63,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,999,,,1100    LAGOON                       AV,,33.7847,-118.2675
240105152,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1803,01,Central,0153,2,888,TRESPASSING,0910 1501,0,X,X,902,MTA - RED LINE - PERSHING SQUARE,,,IC,Invest Cont,888,,,,500 S  HILL                         ST,,34.0488,-118.2518
240804623,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1800,08,West LA,0855,1,310,BURGLARY,1609 0344 1822,0,X,X,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1600    WESTWOOD                     BL,,34.0528,-118.4396
240604763,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1415,06,Hollywood,0636,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0417 0408 0361 0334 1501 0449,25,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,6400    YUCCA                        ST,,34.1039,-118.3297
241704816,01/19/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1800,17,Devonshire,1728,2,624,BATTERY - SIMPLE ASSAULT,0913 1202 1818 0416,54,M,W,230,DAY CARE/ADULTS*,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,18500    SAN FERNANDO MISSION         BL,,34.2718,-118.5361
241005031,01/26/2024 12:00:00 AM,01/17/2024 12:00:00 AM,2200,10,West Valley,1004,2,624,BATTERY - SIMPLE ASSAULT,0416 0400 0913 0552 0602 0444,34,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,8100    ETIWANDA                     AV,,34.2177,-118.5317
240305523,01/31/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1730,03,Southwest,0325,1,330,BURGLARY FROM VEHICLE,0344 1822 0329 1307,40,F,W,402,MARKET,,,IC,Invest Cont,330,,,,2600 S  VERMONT                      AV,,34.0328,-118.2916
240105219,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0100,01,Central,0152,1,310,BURGLARY,0344 1822 0329 0375 0321 0358 0516,0,X,X,219,CLEANER/LAUNDROMAT,,,AA,Adult Arrest,310,,,,600 W  6TH                          ST,,34.0487,-118.2553
240204874,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1740,02,Rampart,0256,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0104 0325 1822,0,X,X,403,DRUG STORE,,,IC,Invest Cont,442,,,,1700 W  6TH                          ST,,34.0573,-118.2699
241904606,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0100,19,Mission,1969,1,310,BURGLARY,1822 1607 0344,61,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,9400    SHARP                        AV,,34.2405,-118.4186
240204789,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0030,02,Rampart,0205,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3100    BELLEVUE                     AV,,34.0804,-118.275
240704736,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1100,07,Wilshire,0762,1,330,BURGLARY FROM VEHICLE,1300 1606 1822 0344,23,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,5900    SATURN                       ST,,34.0498,-118.3678
240105154,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1800,01,Central,0153,2,888,TRESPASSING,0910 1501,0,X,X,902,MTA - RED LINE - PERSHING SQUARE,,,IC,Invest Cont,888,,,,500 S  HILL                         ST,,34.0488,-118.2518
242104687,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1700,21,Topanga,2189,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1420 0325,29,M,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,20800    VENTURA                      BL,,34.1665,-118.5859
240105192,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1900,01,Central,0182,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,500 W  OLYMPIC                      BL,,34.043,-118.2606
240704685,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1615,07,Wilshire,0722,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,23,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,8400 W  3RD                          ST,,34.073,-118.3732
241304741,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1445,13,Newton,1383,1,761,BRANDISH WEAPON,0345 1218 0334 0421 0913 0213,38,F,H,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,109,SEMI-AUTOMATIC PISTOL,AO,Adult Other,761,,,,58TH                         ST,INSKEEP,33.9877,-118.2761
241604659,01/22/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1039,16,Foothill,1618,2,354,THEFT OF IDENTITY,0377 0922 0929 0930,37,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,10900    SCOVILLE                     AV,,34.267,-118.314
240904582,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1750,09,Van Nuys,0981,1,330,BURGLARY FROM VEHICLE,0344 1822,68,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,330,,,,14800    VENTURA                      BL,,34.1539,-118.4666
240704692,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1631,07,Wilshire,0722,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 2028,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,343,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
240204864,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,2245,02,Rampart,0236,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822 0216,40,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,100 S  ALVARADO                     ST,,34.0667,-118.2703
241205051,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1430,12,77th Street,1232,1,210,ROBBERY,0945 1822 0344 0325 0400 0342 1303,0,X,X,405,CLOTHING STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,3200 W  SLAUSON                      AV,,33.989,-118.3282
241004573,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,0155,10,West Valley,1024,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 1100 1822 1309 0430 1414 0302 0906 1270 1218,31,M,W,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,230,,,,7000    RESEDA                       BL,,34.1958,-118.5399
241205071,01/17/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1510,12,77th Street,1204,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0329 1300 1307 0302 0913,56,M,H,101,STREET,102,HAND GUN,AO,Adult Other,230,,,,4400 S  NORMANDIE                    AV,,34.0037,-118.3002
241504846,01/18/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1900,15,N Hollywood,1508,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0408 0434 2000,20,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,7400    SATSUMA                      AV,,34.2048,-118.3671
240904659,01/19/2024 12:00:00 AM,01/17/2024 12:00:00 AM,1900,09,Van Nuys,0901,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,15400    SHERMAN                      WY,,34.2013,-118.4688
